module,container,tag,quantity,uncertainty,confidence,citation,doi,url,accessed,tier,basis
ae.physics.chlorination,CHLORIDES,DERIVED,117.17 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for BCl3, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,12.5 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 12.5 degC at 760 mm Hg"
ae.physics.chlorination,CHLORIDES,DERIVED,169.897 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for SiCl4, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,57.57 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 57.57 degC at 760 mm Hg"
ae.physics.chlorination,CHLORIDES,DERIVED,58.443 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for NaCl, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,1465.0 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 1465 degC"
ae.physics.chlorination,CHLORIDES,DERIVED,74.551 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for KCl, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,1500.0 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: sublimes 1500 degC"
ae.physics.chlorination,CHLORIDES,DERIVED,42.394 gram / mole,point,,,,,,,"sum of IUPAC 2021 standard atomic weights for LiCl, as tabulated in ae.core.feedstock.MOLAR_MASS"
ae.physics.chlorination,CHLORIDES,SOURCED,1360.0 degree_Celsius,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem property record, attributed there to: boiling point 1360 degC; PubChem also records 1350 degC at 760 mm Hg and 1383 degC"
ae.physics.chlorination,REDUCTANT_REQUIRED,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.chlorination,THERMO,SOURCED,-399.5 kilojoule / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem 'Other Experimental Properties': standard molar enthalpy of formation at 298.15 K, -399.5 kJ/mol (crystal)"
ae.physics.chlorination,THERMO,SOURCED,-334.0 kilojoule / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem 'Other Experimental Properties': standard molar Gibbs energy of formation at 298.15 K, -334.0 kJ/mol (crystal)"
ae.physics.chlorination,THERMO,SOURCED,-408.6 kilojoule / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,"PubChem 'Other Experimental Properties': standard molar enthalpy of formation at 298.15 K, -408.6 kJ/mol"
ae.physics.chlorination,THERMO,SOURCED,-410.9 kilojoule / mole,point,medium,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem property text: enthalpy of formation -410.9 kJ/mol at 25 degC
ae.physics.chlorination,THERMO,SOURCED,-436.7 kilojoule / mole,point,medium,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem property text: enthalpy of formation -436.7 kJ/mol
ae.physics.chlorination,THERMO,SOURCED,82.55 joule / kelvin / mole,point,medium,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem property text: entropy S = 82.55 J/mol-K
ae.physics.chlorination,THERMO,SOURCED,-393.51 kilojoule / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem 'Other Experimental Properties': heat of formation -393.51 kJ/mol
ae.physics.chlorination,THERMO,SOURCED,213.785 joule / kelvin / mole,point,high,"PubChem compound records, National Library of Medicine, retrieved via the PUG-View REST API",,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/,2026-09-16,1,PubChem 'Other Experimental Properties': entropy 213.785 J/K-mol
ae.physics.comminution,enum,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.comminution,enum,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.comminution,enum,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.comminution,_WI_ORE_A,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.comminution,_WORK_INDEX_PRIORS,ASSUMED,13.6 kilowatt_hour / ton,"uniform(low=11.0, high=17.0)",low,,,,,,"ESTIMATE, not a measurement. Centred on the 13.57 kWh/short ton figure for quartz that appears in secondary transcriptions of Bond 1961, Crushing and Grinding Calculations (Allis-Chalmers), which could not be verified against the primary source in this environment and would be a tier 3 citation if used directly. Bracketed 11 to 17 kWh/short ton to span the quartz, quartzite and silica sand entries of those same tables. Corroborated only loosely by the one retrievable peer-reviewed measurement on a quartz-rich ore, 12.3 kWh/metric tonne (11.16 kWh/short ton) for Ore A of Arellano-Pina et al. 2023, doi:10.37190/ppmp/172458. Replace with a measured Bond ball mill index on AE-Q samples."
ae.physics.comminution,_WORK_INDEX_PRIORS,ASSUMED,12.2 kilowatt_hour / ton,"uniform(low=10.0, high=16.0)",low,,,,,,"ESTIMATE. Same unverified Bond 1961 secondary transcriptions (quartzite 12.18 kWh/short ton), same caveat as vein quartz. Quartzite is expected softer than vein quartz in grinding because breakage follows the cemented grain boundaries rather than the quartz itself, but this module has no measurement supporting the direction or the size of that difference."
ae.physics.comminution,_WORK_INDEX_PRIORS,ASSUMED,16.5 kilowatt_hour / ton,point,low,,,,,,"ESTIMATE. The silica sand entry (16.46 kWh/short ton) of the same unverified Bond 1961 transcriptions. Higher than vein quartz there, which is consistent with a sand feed already being fine so that further size reduction sits in the Rittinger rather than the Bond regime, where a Bond index measured at a coarse closing screen understates energy. Treat any Bond calculation on a sand feed as suspect on that ground alone (see LIMITATIONS item 2)."
ae.physics.diffusion,enum,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.diffusion,enum,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.diffusion,enum,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.diffusion,enum,SOURCED,[90.0 400.0] kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Stated in the abstract as activation energies ranging from approximately 90 kJ/mol for Na+ to 400 kJ/mol for Ti4+ for solid-state diffusion through the SiO2 lattice. The full text, which would give per-element prefactors, was not retrievable (mdpi.com returned HTTP 403 from this sandbox)."
ae.physics.diffusion,enum,ASSUMED,[1e-10 0.0001] meter ** 2 / second,point,low,,,,,,"Estimate, not a measurement: pre-exponential factors for cation diffusion in silicate minerals are commonly reported within about 1e-10 to 1e-4 m^2/s. Used as a SWEEP so that any conclusion drawn is checked at both ends rather than resting on a chosen value. A measured prefactor for Al requires Pankrath 1994 (doi 10.1127/ejm/6/4/0435), unreachable from this sandbox."
ae.physics.diffusion,warnings,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.diffusion,warnings,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.diffusion,warnings,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.diffusion,warnings,SOURCED,[90.0 400.0] kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Stated in the abstract as activation energies ranging from approximately 90 kJ/mol for Na+ to 400 kJ/mol for Ti4+ for solid-state diffusion through the SiO2 lattice. The full text, which would give per-element prefactors, was not retrievable (mdpi.com returned HTTP 403 from this sandbox)."
ae.physics.diffusion,warnings,ASSUMED,[1e-10 0.0001] meter ** 2 / second,point,low,,,,,,"Estimate, not a measurement: pre-exponential factors for cation diffusion in silicate minerals are commonly reported within about 1e-10 to 1e-4 m^2/s. Used as a SWEEP so that any conclusion drawn is checked at both ends rather than resting on a chosen value. A measured prefactor for Al requires Pankrath 1994 (doi 10.1127/ejm/6/4/0435), unreachable from this sandbox."
ae.physics.diffusion,np,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.diffusion,np,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.diffusion,np,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.diffusion,np,SOURCED,[90.0 400.0] kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Stated in the abstract as activation energies ranging from approximately 90 kJ/mol for Na+ to 400 kJ/mol for Ti4+ for solid-state diffusion through the SiO2 lattice. The full text, which would give per-element prefactors, was not retrievable (mdpi.com returned HTTP 403 from this sandbox)."
ae.physics.diffusion,np,ASSUMED,[1e-10 0.0001] meter ** 2 / second,point,low,,,,,,"Estimate, not a measurement: pre-exponential factors for cation diffusion in silicate minerals are commonly reported within about 1e-10 to 1e-4 m^2/s. Used as a SWEEP so that any conclusion drawn is checked at both ends rather than resting on a chosen value. A measured prefactor for Al requires Pankrath 1994 (doi 10.1127/ejm/6/4/0435), unreachable from this sandbox."
ae.physics.diffusion,LIU_2026_EA_RANGE_KJ,SOURCED,[90.0 400.0] kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Stated in the abstract as activation energies ranging from approximately 90 kJ/mol for Na+ to 400 kJ/mol for Ti4+ for solid-state diffusion through the SiO2 lattice. The full text, which would give per-element prefactors, was not retrievable (mdpi.com returned HTTP 403 from this sandbox)."
ae.physics.diffusion,D0_SWEEP_M2_S,ASSUMED,[1e-10 0.0001] meter ** 2 / second,point,low,,,,,,"Estimate, not a measurement: pre-exponential factors for cation diffusion in silicate minerals are commonly reported within about 1e-10 to 1e-4 m^2/s. Used as a SWEEP so that any conclusion drawn is checked at both ends rather than resting on a chosen value. A measured prefactor for Al requires Pankrath 1994 (doi 10.1127/ejm/6/4/0435), unreachable from this sandbox."
ae.physics.diffusion,MOST_MOBILE_BOUND,ASSUMED,0.0001 meter ** 2 / second,point,low,,,,,,"Upper end of the silicate prefactor sweep (see D0_SWEEP_M2_S). Chosen to OVERSTATE mobility so that an infeasibility verdict is conservative. Estimate, not a measurement."
ae.physics.diffusion,MOST_MOBILE_BOUND,ASSUMED,90.0 kilojoule / mole,point,low,,,,,,"Low end of the Liu et al. 2026 lattice-diffusion range (doi 10.3390/min16080836), corresponding to interstitial Na+, the most mobile species in their set. Substitutional, charge-compensated Al3+ and Ti4+ must face higher barriers, so this understates the barrier and overstates mobility by design. Estimate."
ae.physics.diffusion,TI_LATTICE_BOUND,ASSUMED,0.0001 meter ** 2 / second,point,low,,,,,,"Upper end of the silicate prefactor sweep, chosen to overstate mobility. Liu et al. 2026 report the Ti4+ activation energy but no prefactor. Estimate."
ae.physics.diffusion,TI_LATTICE_BOUND,SOURCED,400.0 kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Upper end of the activation-energy range stated in the Liu et al. 2026 abstract, attributed there to Ti4+ lattice diffusion in SiO2."
ae.physics.impurity_location,enum,ASSUMED,85.0 joule / kelvin / mole,point,low,,,,,,"Trouton's rule, the empirical observation that the entropy of vaporization of many liquids at their normal boiling point clusters near 85 J/(mol K). An approximation, not a measurement, and known to be poor for associated vapours (AlCl3 is dimeric as Al2Cl6) and for ionic melts (NaCl, KCl, LiCl). Used only where a measured enthalpy of vaporization could not be sourced, and every value so derived is flagged in CHLORIDES."
ae.physics.impurity_location,enum,SOURCED,1.0 dimensionless,point,high,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Liu et al. 2026 abstract: 'carbonaceous reductants are indispensable for enabling spontaneous chlorination of substitutional impurities such as Ti, Al, and B, while alkali metals including Na, K, and Li can be effectively removed under HCl atmosphere at moderate temperatures'. Encoded as the rule that Ti, Al and B are thermodynamically blocked when no reductant is present."
ae.physics.impurity_location,enum,SOURCED,12.3 kilowatt_hour / metric_ton,"uniform(low=0.95, high=1.05) (relative to nominal)",medium,"Arellano-Pina R., Sanchez-Ramirez E., Perez-Garibay R. et al. 2023, Bond's work index estimation using non-standard ball mills, Physicochemical Problems of Mineral Processing 59(6):172458",10.37190/ppmp/172458,,2026-09-16,1,"Table 2, Ore A, standard Bond procedure in the 30.5 cm Bond ball mill. Ore A is a quartz plus aluminosilicate assemblage from Zacatecas, Mexico (28.75 wt% Si), not a quartz concentrate. Relative uncertainty of plus or minus 5 percent reflects the 3.8 to 5.3 percent spread the same paper reports between its standard and reduced procedures. UNIFORM, not normal: the spread is the gap between two named procedures, which bounds the value rather than describing a sampling distribution around it, and the paper reports no replicate scatter that would justify a Gaussian. This call was originally written against Distribution.relative(0.05), which left the shape implicit; that constructor was split into relative_normal and relative_uniform precisely so the shape has to be stated, because the implicit version also misread an absolute zero-mean normal as a relative one."
ae.physics.impurity_location,enum,SOURCED,[90.0 400.0] kilojoule / mole,point,medium,"Liu, L., Liu, H., Li, J., Peng, T., Wang, W. and Wang, F. (2026) Mechanism Study on Deep Removal of Lattice Impurities from High-Purity Quartz by Chlorination Roasting, Minerals 16(8), 836",10.3390/min16080836,,2026-09-16,1,"Stated in the abstract as activation energies ranging from approximately 90 kJ/mol for Na+ to 400 kJ/mol for Ti4+ for solid-state diffusion through the SiO2 lattice. The full text, which would give per-element prefactors, was not retrievable (mdpi.com returned HTTP 403 from this sandbox)."
ae.physics.impurity_location,enum,ASSUMED,[1e-10 0.0001] meter ** 2 / second,point,low,,,,,,"Estimate, not a measurement: pre-exponential factors for cation diffusion in silicate minerals are commonly reported within about 1e-10 to 1e-4 m^2/s. Used as a SWEEP so that any conclusion drawn is checked at both ends rather than resting on a chosen value. A measured prefactor for Al requires Pankrath 1994 (doi 10.1127/ejm/6/4/0435), unreachable from this sandbox."
ae.physics.impurity_location,PARTITION_PRIORS,ASSUMED,0.05 dimensionless,point,low,,,,,,"ESTIMATE. Small surface film term for clay and grinding debris; Lin et al. 2020 Table 3 shows washing and desliming removing clay minerals before any chemical step, implying a real but minor surface inventory."
